venue_id,venue_name,lat,lng,postal_code,city,category,station_id
4d5ab0c535966dcbc30f6428,Kichesippi Beer,45.3765524891366,-75.74986530383171,K2A 2C5,Ottawa,Brewery,4b129fc6f964a520778b23e3
4b58e389f964a5200f7128e3,Playvalue Toys,45.38369963034386,-75.74243714699233,K0A 1L0,Ottawa,Toy / Game Store,4b129fc6f964a520778b23e3
4d56f8daba5b224b5bcd2114,S&G Fries,45.3768412715827,-75.75587766059613,None,Ottawa,Food Truck,4b129fc6f964a520778b23e3
4be061ed4f15c928950dcb0b,Canadian Tire,45.37931400068493,-75.74934492205541,K2A 1C5,Ottawa,Hardware Store,4b129fc6f964a520778b23e3
5486239b498e9751c42ec1bc,Equator Coffee Westboro,45.3917138967528,-75.75371664450327,K1Z 5C6,Ottawa,Coffee Shop,4b129fc6f964a520778b23e3
54f0f814498e8773f48ceebc,Pure Kitchen,45.39168254997015,-75.75479730291858,None,Ottawa,Vegetarian / Vegan Restaurant,4b129fc6f964a520778b23e3
50660c17e4b0b6cb79024d7d,Fratelli Entoca And Wine Bar,45.393408552919546,-75.75129828500874,None,Ottawa,Italian Restaurant,4b129fc6f964a520778b23e3
4b5f9ca9f964a5208ac429e3,Aahar Taste of India Restaurant,45.3811514465572,-75.74693828557493,K1Z 5G7,Ottawa,Indian Restaurant,4b129fc6f964a520778b23e3
4b38f476f964a520f95225e3,Baker Street Cafe,45.39116618345191,-75.75592305920286,K2A 0E7,Ottawa,Breakfast Spot,4b129fc6f964a520778b23e3
4b0586e2f964a5203e7322e3,MEC Ottawa,45.39127398057316,-75.75496087524705,K2A 0E8,Ottawa,Sporting Goods Shop,4b129fc6f964a520778b23e3
4c65d6ba7abde21e55f66168,Silver Spoon Thai Cuisine,45.377409008845895,-75.75412414140096,None,Ottawa,Thai Restaurant,4b129fc6f964a520778b23e3
4b192d6cf964a520cbd823e3,Bridgehead,45.38952524567271,-75.75969713908623,K2A 0G2,Ottawa,Coffee Shop,4b129fc6f964a520778b23e3
4b3f8e4bf964a520fea825e3,Al's Diner,45.3779151,-75.7494096,K1Z 5A1,Ottawa,Diner,4b129fc6f964a520778b23e3
4f627a88e4b06cb9f96eb58d,Pure Yoga,45.39336429948672,-75.75163641602978,None,Ottawa,Yoga Studio,4b129fc6f964a520778b23e3
4b21983bf964a520953e24e3,Soloway Jewish Community Centre,45.37580458747341,-75.75217288097025,K2A 1R9,Ottawa,Gym,4b129fc6f964a520778b23e3
4b0c2fe4f964a520953823e3,Critter Jungle,45.386101202836606,-75.73989761550882,None,Ottawa,Pet Store,4b129fc6f964a520778b23e3
